gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
female,black,1,1,1,1,0,1,0,0,587
female,black,1,1,1,1,0,0,1,0,588
female,black,0,1,1,0,0,1,0,1,589
female,black,0,1,1,0,1,0,0,1,590
female,black,0,1,1,0,0,0,1,1,591
female,white,1,1,0,1,0,0,0,0,592
NA,black,1,0,0,0,0,0,0,0,593
female,asian,1,1,0,1,0,0,0,0,594
male,black,0,0,0,0,0,0,0,1,595
male,asian,1,0,0,1,0,0,0,1,596
male,black,1,0,0,0,0,0,0,0,597
NA,white,0,0,0,1,0,1,0,1,598
NA,white,0,0,0,1,1,0,0,1,599
female,other,1,1,0,1,0,0,0,1,600
female,white,0,1,0,0,0,0,1,1,601
female,white,0,1,0,0,1,0,0,1,602
female,white,0,1,0,0,0,1,0,1,603
NA,white,1,1,1,1,1,0,0,1,604
NA,white,1,1,1,1,0,0,1,1,605
female,other,1,1,1,1,1,0,0,1,606
female,other,1,1,1,1,0,0,1,1,607
female,other,1,1,1,1,0,1,0,1,608
male,asian,1,1,0,0,0,0,0,0,609
NA,white,0,1,1,1,1,0,0,0,610
NA,white,0,1,1,1,0,1,0,0,611
